Service,Frequency
LogMeIn-NetBIOS.Session.Service,102
udp/36553,102
udp/30399,100
udp/10357,100
ADP-NetBIOS.Session.Service,100
udp/51318,100
udp/50432,100
udp/31747,100
udp/8222,100
udp/27029,100
udp/60682,100
tcp/35171,100
udp/9851,98
udp/8587,98
udp/30808,98
udp/16713,98
udp/16493,98
udp/58625,98
udp/62158,98
udp/17714,98
udp/26607,96
Tor-Relay.Node,96
udp/17187,96
udp/28756,96
udp/22506,96
udp/25000,96
udp/52129,96
udp/16563,96
udp/61991,96
udp/51897,96
udp/30210,96
udp/22126,96
udp/58997,94
udp/49516,94
Intuit-Outbound_Email,94
udp/48160,94
Atlassian-Atlassian.Cloud,94
tcp/1943,94
udp/24488,94
udp/16677,92
tcp/6379,92
Zoho-NetBIOS.Session.Service,92
VK-NetBIOS.Session.Service,92
udp/49001,92
tcp/3478,92
udp/62345,92
Cato-Cato.Cloud,92
udp/34293,92
udp/54533,92
udp/58364,90
tcp/14363,90
udp/451,90
tcp/5431,90
udp/56288,90
tcp/1443,90
tcp/7770,88
udp/39328,88
udp/43217,88
udp/58806,88
tcp/43,86
udp/39414,86
tcp/37245,84
Fortinet-FortiGuard,84
udp/55249,84
udp/62731,84
udp/47615,82
udp/42908,82
udp/58000,82
udp/51613,82
udp/55568,82
udp/62786,82
tcp/44300,82
udp/60438,82
udp/57196,82
udp/41327,82
Amazon-Outbound_Email,82
udp/44138,82
udp/61601,82
udp/35869,80
udp/45307,80
udp/34346,80
udp/60966,80
udp/38952,80
udp/48132,80
tcp/2959,80
udp/41320,80
udp/56903,80
tcp/6961,80
udp/40541,80
Fortinet-NetBIOS.Session.Service,80
udp/43403,80
udp/34708,80
udp/45378,80
tcp/13793,80
udp/59103,80
udp/62431,80
tcp/943,80
udp/39923,80
udp/41913,80
Panda-Panda.Security,80
udp/56872,80
udp/53131,80
udp/23833,78
CNN-Web,78
DCE-RPC,78
udp/63098,78
udp/49451,78
udp/53858,78
udp/50806,78
udp/25,78
Stretchoid-Scanner,78
udp/61255,78
udp/41984,78
udp/50013,76
udp/53873,76
udp/60671,76
udp/63044,76
udp/52097,76
udp/10443,76
udp/57752,76
udp/52144,76
tcp/9443,74
udp/53259,74
udp/30816,74
tcp/2943,72
Tencent-NTP,72
udp/51852,72
udp/49665,72
udp/52334,72
tcp/29389,72
udp/52670,72
udp/49835,72
udp/54761,72
udp/55347,72
udp/29440,72
udp/59883,72
udp/64827,70
tcp/41315,70
udp/56689,70
udp/58277,70
tcp/10554,70
udp/55934,70
udp/57629,70
udp/52810,70
udp/65001,68
udp/50143,68
udp/54522,68
udp/64829,68
udp/64125,68
udp/28078,68
udp/60215,68
udp/52485,68
udp/8685,68
udp/56205,68
udp/49124,66
udp/50003,66
udp/57830,66
udp/54139,66
udp/62806,66
udp/50809,66
Twitter-NetBIOS.Session.Service,66
udp/40215,66
tcp/37815,66
udp/57095,66
udp/63915,64
udp/54422,64
StackPath-CDN,64
udp/35171,64
udp/53204,64
udp/37002,64
udp/57053,64
udp/61361,64
udp/22382,64
udp/22748,64
udp/32312,64
udp/56095,64
udp/24640,64
udp/53192,64
udp/62208,64
udp/52317,64
udp/50001,64
udp/50535,64
udp/51539,62
udp/61881,62
udp/17008,62
tcp/9459,62
tcp/64211,60
udp/12292,60
tcp/6882,60
tcp/32479,60
tcp/62032,60
Oracle-Other,60
tcp/5053,60
udp/58251,60
tcp/8000,60
tcp/41675,60
udp/14363,60
udp/51602,60
udp/27188,60
udp/52562,60
tcp/38983,60
udp/53542,60
tcp/38847,60
tcp/25331,60
tcp/32187,60
tcp/41381,60
udp/63242,60
VDOLIVE,58
tcp/8009,58
udp/57000,58
udp/51820,58
udp/63101,58
udp/14289,58
udp/29390,58
udp/64804,58
udp/62120,58
tcp/8020,58
udp/53540,58
tcp/4070,56
FTP,56
udp/54071,56
tcp/56880,56
udp/12584,56
udp/43907,56
udp/31157,56
udp/27134,56
udp/64918,56
udp/61483,56
Sendgrid-Sendgrid.Email,56
udp/54409,56
Salesforce-Hyperforce,56
udp/34101,56
udp/49700,56
udp/52994,56
udp/6882,54
udp/49775,54
udp/54103,54
udp/62291,54
udp/10885,54
udp/26999,54
Genesys-PureCloud,54
tcp/2228,54
udp/54879,54
udp/39562,52
udp/50875,52
udp/22222,52
udp/51771,52
udp/13793,52
udp/51920,52
udp/58779,52
udp/65005,52
udp/54433,52
udp/54002,52
tcp/9447,52
udp/42250,52
udp/28006,52
udp/63886,52
tcp/34524,52
udp/37533,50
tcp/2952,50
udp/16664,50
udp/59633,50
tcp/7275,50
tcp/1962,50
udp/56384,50
tcp/33075,50
tcp/44999,50
udp/56081,50
udp/55455,50
tcp/40691,50
NNTP,50
tcp/57229,50
tcp/2947,50
udp/63040,50
tcp/959,50
tcp/1959,50
tcp/9446,50
SAP-HANA,50
udp/55604,50
Okko-Okko.TV,50
udp/46611,50
udp/49618,48
udp/58172,48
udp/53597,48
udp/45085,48
udp/50159,48
udp/59801,48
udp/5079,48
Okta-Okta,48
udp/56597,48
tcp/34729,48
udp/6889,48
udp/54881,48
udp/51532,48
udp/60875,48
udp/58403,48
udp/49332,48
Symantec-Symantec.Cloud,48
udp/64551,48
udp/54243,48
udp/57575,48
RTSP,46
KERBEROS,46
udp/46222,46
udp/6847,46
LinkedIn-NetBIOS.Session.Service,46
udp/6666,46
udp/57736,46
udp/51119,46
tcp/9462,46
udp/28008,46
udp/55802,46
udp/28007,46
tcp/554,44
udp/52646,44
udp/56615,44
udp/64577,44
udp/52685,44
udp/51669,44
udp/61408,44
udp/53840,44
Medianova-CDN,44
udp/54202,44
udp/62147,44
udp/60881,44
udp/38041,44
udp/37030,44
udp/56254,44
udp/37937,44
udp/23403,44
udp/61595,44
udp/51921,44
Zendesk-NetBIOS.Session.Service,44
tcp/25565,44
ntp.org-Other,44
udp/59719,44
udp/53993,44
udp/53135,44
udp/54214,44
udp/35897,44
udp/64043,44
udp/52080,44
udp/63047,44
udp/50398,44
udp/62873,44
udp/53324,44
udp/59388,44
udp/59934,44
udp/39149,42
udp/43344,42
udp/56635,42
udp/59764,42
udp/61934,42
udp/63596,42
udp/35661,42
udp/63548,42
udp/65525,42
tcp/8088,42
udp/45991,42
udp/63188,42
tcp/9200,42
Tableau-Web,42
udp/38711,42
udp/46996,42
tcp/7547,42
udp/45722,42
udp/54312,42
udp/50473,42
udp/12598,42
udp/5505,42
udp/37265,42
udp/43985,42
MYSQL,42
udp/51567,42
udp/52999,42
udp/44563,42
ONC-RPC,42
udp/40279,42
udp/63236,42
udp/49059,42
udp/46057,42
udp/51296,42
tcp/9001,42
udp/32232,42
tcp/41070,42
tcp/64623,42
tcp/48576,42
udp/35860,42
tcp/47328,42
tcp/2222,42
tcp/4433,42
tcp/56884,42
udp/42419,42
udp/53477,42
udp/38319,40
udp/18618,40
udp/7908,40
udp/54566,40
udp/54112,40
tcp/39129,40
udp/37596,40
udp/46590,40
udp/55231,40
tcp/2957,40
tcp/29363,40
Skyhigh.Security-Secure.Web.Gateway,40
udp/65305,40
udp/65404,40
udp/39717,40
udp/39557,40
udp/49756,40
udp/48215,40
udp/55520,40
udp/40880,40
udp/46661,40
udp/38874,40
udp/12236,40
udp/62988,40
udp/24267,40
udp/57645,40
udp/59797,40
udp/57899,40
udp/60739,40
udp/29762,40
udp/40518,40
udp/19383,40
udp/54675,40
udp/54137,40
udp/29294,40
udp/42654,40
udp/64752,40
udp/62016,40
udp/50054,40
udp/44364,40
udp/33825,40
udp/38659,40
tcp/7,40
udp/53517,40
tcp/59764,40
udp/44021,40
Cloudflare-ICMP,40
tcp/48007,40
udp/52648,40
udp/26639,40
NewRelic-NetBIOS.Session.Service,40
udp/40056,40
udp/15619,40
udp/23611,40
LogMeIn-GoTo.Suite,40
udp/38254,40
udp/31268,40
tcp/18629,40
tcp/40661,40
udp/25143,40
udp/63549,40
udp/11304,40
udp/63320,40
udp/43393,40
udp/60663,40
udp/54552,40
udp/64378,40
tcp/36277,40
udp/37839,40
udp/48509,40
udp/49682,40
tcp/19638,40
tcp/36916,40
udp/17362,40
udp/39064,40
udp/29512,40
udp/43013,40
udp/39265,40
udp/42675,40
udp/44917,40
udp/34134,40
udp/17601,40
udp/54302,40
udp/5840,40
udp/59402,40
tcp/20217,40
tcp/43581,40
tcp/44571,40
tcp/56530,40
tcp/13001,40
tcp/44697,40
udp/49152,40
udp/43632,40
udp/55309,40
udp/46248,40
udp/64257,40
tcp/13180,40
udp/62772,40
udp/41675,40
udp/9454,40
udp/52618,40
tcp/47989,40
udp/40812,40
tcp/36580,40
tcp/59492,40
tcp/52099,40
tcp/55017,40
udp/57385,40
udp/52140,40
udp/19866,40
udp/50341,40
udp/40272,40
tcp/962,40
tcp/39862,40
udp/59641,40
udp/44835,40
udp/62266,40
tcp/37071,40
tcp/33623,40
udp/60311,40
udp/32336,40
udp/20719,40
udp/42911,40
tcp/56834,40
tcp/27773,40
tcp/62383,40
tcp/44447,40
udp/46013,40
udp/38983,40
udp/63336,40
udp/12251,40
udp/46716,40
udp/32187,40
tcp/56229,40
udp/41381,40
tcp/61518,40
tcp/20473,40
udp/62276,40
udp/64768,40
udp/55895,40
udp/38847,40
tcp/54076,40
tcp/53056,40
Fortinet-FortiSASE,40
udp/62609,40
udp/12760,40
Vimeo-Web,40
tcp/2974,40
udp/51358,40
udp/22165,38
udp/61316,38
udp/36897,38
udp/65225,38
udp/47902,38
udp/26820,38
udp/46715,38
udp/22981,38
udp/58993,38
tcp/7777,38
udp/62927,38
udp/37341,38
udp/37442,38
udp/58698,38
udp/48854,38
udp/57915,38
udp/49832,38
udp/61706,38
udp/55505,38
udp/47476,38
udp/65107,38
udp/58144,38
udp/21105,38
udp/41315,38
udp/62295,38
tcp/2950,38
udp/54794,38
udp/49264,38
udp/65300,38
udp/43598,38
udp/28010,38
udp/50115,38
udp/50002,38
tcp/42741,38
udp/49244,36
Bill-Web,36
tcp/1950,36
udp/12403,36
udp/61525,36
udp/35963,36
udp/56966,36
udp/28013,36
udp/62801,36
udp/39513,36
SAP-Web,36
Redhat-NetBIOS.Session.Service,36
udp/53427,36
tcp/1337,36
udp/53522,36
udp/39885,36
udp/56730,36
tcp/9450,36
udp/49262,36
udp/19128,36
udp/64897,36
udp/20983,36
udp/49530,36
udp/6880,36
tcp/44287,36
udp/17778,36
udp/33867,36
udp/21,36
tcp/37777,34
tcp/8999,34
udp/57627,34
tcp/2962,34
udp/48196,34
udp/5683,34
tcp/2323,34
udp/49774,34
udp/34771,34
udp/57229,34
udp/60716,34
udp/34032,34
udp/49728,34
udp/50050,34
udp/47989,34
udp/51630,34
udp/62195,34
udp/62237,34
udp/37609,34
udp/56906,34
udp/44319,34
udp/5353,34
tcp/2096,34
udp/64129,34
udp/58627,34
udp/12421,34
tcp/1095,34
udp/48174,34
udp/53345,34
udp/62227,34
udp/37696,34
tcp/30885,34
udp/48252,34
udp/53121,34
udp/109,34
udp/20501,34
udp/50379,34
udp/40098,34
tcp/3625,32
udp/24868,32
Gigas-Gigas.Cloud,32
udp/40456,32
udp/28012,32
udp/55305,32
udp/18952,32
tcp/375,32
udp/25675,32
udp/53258,32
tcp/30939,32
udp/19404,32
udp/21289,32
tcp/945,32
udp/44708,32
Marketo-NetBIOS.Session.Service,32
udp/49178,32
udp/18097,32
udp/23904,32
udp/51400,32
udp/29565,32
udp/58899,32
udp/12885,32
udp/51033,32
udp/46803,32
udp/23243,32
udp/21982,32
tcp/31412,32
udp/44999,32
udp/64184,32
tcp/6701,32
udp/20988,32
tcp/13000,32
tcp/46582,32
udp/55940,32
udp/10497,32
udp/22796,32
tcp/53758,32
udp/52001,32
tcp/60815,32
udp/20753,32
udp/17938,32
udp/51028,32
udp/33075,32
udp/57315,32
tcp/20080,32
udp/33174,32
udp/43690,32
udp/21250,32
udp/6420,32
IBM-Web,32
udp/25121,32
tcp/7678,32
tcp/41461,32
udp/28009,32
tcp/2083,32
tcp/30582,32
udp/51269,32
tcp/9000,32
tcp/1947,30
udp/62116,30
tcp/967,30
tcp/54612,30
tcp/4948,30
tcp/58897,30
tcp/35572,30
tcp/45088,30
tcp/47341,30
tcp/1675,30
tcp/30269,30
tcp/28168,30
tcp/7858,30
tcp/9474,30
tcp/4567,30
udp/62800,30
udp/56797,30
tcp/39292,30
udp/52151,30
tcp/5985,30
udp/59406,30
tcp/42491,30
tcp/54874,30
tcp/51185,30
tcp/38261,30
tcp/37557,30
tcp/43487,30
tcp/37609,30
tcp/42840,30
tcp/24967,30
tcp/23456,30
tcp/42701,30
tcp/63508,30
tcp/39802,30
tcp/46389,30
tcp/48248,30
tcp/26030,30
tcp/56812,30
tcp/36616,30
tcp/63523,30
tcp/20743,30
udp/41526,30
tcp/26724,30
tcp/50309,30
tcp/43510,30
tcp/37947,30
tcp/8015,30
udp/28014,30
tcp/21277,30
tcp/63657,30
tcp/14897,30
tcp/38803,30
tcp/34665,30
tcp/23917,30
tcp/37457,30
tcp/50735,30
tcp/37284,30
tcp/40240,30
tcp/30559,30
tcp/41526,30
tcp/42535,30
tcp/62078,30
tcp/2946,30
tcp/31860,30
tcp/13465,30
udp/61442,30
udp/56222,30
udp/58293,30
tcp/18372,30
udp/18987,30
Stripe-Stripe,30
tcp/28386,30
tcp/5165,30
tcp/39759,30
tcp/59517,30
tcp/57419,30
udp/56834,30
tcp/38861,30
tcp/8836,30
tcp/41780,30
tcp/60282,30
tcp/48760,30
tcp/59229,30
tcp/35949,30
tcp/45148,30
tcp/48580,30
udp/56999,30
udp/62474,30
udp/36821,30
udp/55845,30
tcp/39171,30
tcp/27063,30
tcp/39547,30
tcp/22715,30
tcp/37036,30
tcp/51584,30
tcp/38101,30
tcp/2504,30
tcp/64567,30
tcp/35427,30
tcp/17193,30
tcp/23266,30
tcp/21501,30
tcp/5554,30
tcp/49839,30
tcp/31859,30
tcp/31858,30
tcp/541,30
udp/57937,30
Bloomberg-Bloomberg,30
udp/54502,30
tcp/2960,30
tcp/62682,30
tcp/64844,30
tcp/44591,30
tcp/7446,30
tcp/42983,30
tcp/12604,30
tcp/2131,30
tcp/31527,30
tcp/4929,30
tcp/30579,30
tcp/24323,30
tcp/6890,30
tcp/21540,30
tcp/1052,30
udp/20003,30
tcp/946,30
tcp/9010,30
udp/57126,30
tcp/10331,30
tcp/50442,30
tcp/47351,30
tcp/36446,30
tcp/55239,30
tcp/65213,30
tcp/45393,30
tcp/62319,30
tcp/20074,30
tcp/63250,30
tcp/23151,30
tcp/29534,30
tcp/51980,30
udp/64679,30
udp/55150,30
tcp/9452,30
udp/54614,30
udp/63312,30
udp/61498,30
tcp/952,30
tcp/16847,28
udp/62441,28
tcp/29985,28
udp/64749,28
tcp/52881,28
tcp/8374,28
tcp/7230,28
udp/53677,28
tcp/59696,28
Microsoft-Outbound_Email,28
tcp/36782,28
udp/38947,28
tcp/500,28
udp/63013,28
tcp/11609,28
tcp/59638,28
tcp/39576,28
tcp/33995,28
tcp/44093,28
tcp/45865,28
udp/28003,28
tcp/46113,28
udp/36665,28
tcp/34888,28
tcp/53652,28
udp/52022,28
udp/54329,28
udp/50301,28
tcp/11978,28
tcp/43227,28
udp/27128,28
udp/36277,28
tcp/1178,28
tcp/36251,28
tcp/35559,28
udp/56564,28
tcp/2419,28
tcp/5279,28
tcp/26157,28
udp/28001,28
tcp/19412,28
tcp/59659,28
udp/8930,28
udp/64467,28
udp/53566,28
tcp/27654,28
udp/28000,28
udp/54757,28
8080,28
udp/49468,28
udp/15000,28
udp/13011,28
tcp/62542,28
tcp/33374,28
tcp/32114,28
udp/64322,28
udp/25145,28
tcp/38828,28
tcp/39162,28
udp/64873,28
tcp/48916,28
tcp/45429,28
udp/7699,28
udp/54946,28
udp/61675,28
tcp/43635,28
udp/62846,28
tcp/29833,28
udp/46576,28
udp/60403,28
Cisco-Secure.Endpoint,28
tcp/56822,28
tcp/33445,28
tcp/26486,28
tcp/45666,28
udp/39129,28
tcp/27900,28
tcp/35262,28
udp/40017,28
tcp/9100,28
tcp/64369,28
tcp/629,28
tcp/237,28
tcp/45009,28
tcp/12007,28
tcp/46745,28
udp/55017,28
tcp/6763,28
tcp/39523,28
tcp/44535,28
tcp/38417,28
tcp/52421,28
tcp/29923,28
tcp/2353,28
tcp/35401,28
udp/60172,28
tcp/29620,28
tcp/23436,28
udp/61040,28
tcp/41733,28
tcp/24406,28
tcp/64082,28
tcp/41931,28
tcp/12301,28
udp/57635,28
udp/64089,28
udp/11665,28
tcp/40635,28
tcp/59576,28
udp/54245,28
udp/55639,28
tcp/12345,28
udp/59492,28
udp/64117,26
udp/40899,26
udp/64478,26
udp/48999,26
udp/59267,26
tcp/40613,26
tcp/1974,26
Backblaze-NetBIOS.Session.Service,26
udp/50321,26
udp/59812,26
tcp/31832,26
tcp/31986,26
tcp/31987,26
udp/64250,26
udp/40661,26
udp/13001,26
udp/18629,26
udp/43581,26
udp/52099,26
udp/62383,26
udp/36580,26
udp/50177,26
udp/46046,26
udp/8081,26
PayPal-NetBIOS.Session.Service,26
tcp/587,26
udp/65388,26
udp/59360,26
tcp/31833,26
udp/52808,26
udp/8909,26
udp/44697,26
udp/44447,26
udp/44571,26
tcp/31984,26
tcp/31834,26
tcp/31985,26
udp/13180,26
tcp/33434,26
udp/19638,26
udp/61518,26
udp/20473,26
udp/36916,26
udp/55007,26
RealNetworks-NetBIOS.Session.Service,26
udp/21549,26
udp/56229,26
tcp/22421,26
tcp/40279,26
udp/33623,26
udp/29363,26
udp/20217,26
udp/37071,26
udp/56530,26
udp/427,26
udp/64004,26
udp/27773,26
udp/63526,26
udp/52741,26
udp/60830,26
tcp/57526,26
udp/62164,26
udp/64623,26
udp/41070,26
udp/54076,26
udp/54450,26
