Service,Frequency
udp/34956,4
tcp/1960,4
udp/57329,4
udp/60863,4
udp/55004,4
udp/62565,4
udp/5387,4
udp/57813,4
tcp/61551,4
udp/39426,4
tcp/50490,4
udp/60829,4
udp/39664,4
udp/33643,4
udp/30184,4
udp/63095,4
udp/47530,4
udp/52021,4
udp/34476,4
tcp/8300,4
udp/47920,4
udp/9552,4
udp/33886,4
udp/38827,4
udp/52402,4
udp/55796,4
udp/54858,4
udp/50636,4
udp/63759,4
udp/9219,4
tcp/2011,4
udp/47646,4
udp/52792,4
tcp/9019,4
udp/58737,4
tcp/22922,4
udp/18582,4
udp/37155,4
udp/52000,4
udp/34845,4
tcp/31034,4
tcp/7268,2
tcp/50863,2
tcp/35000,2
udp/32407,2
tcp/9885,2
udp/45863,2
tcp/1253,2
udp/39951,2
udp/50945,2
udp/46580,2
udp/39263,2
tcp/1759,2
udp/60930,2
udp/61320,2
udp/34573,2
tcp/282,2
tcp/30802,2
tcp/48620,2
udp/56911,2
tcp/1966,2
tcp/9855,2
udp/49066,2
udp/39080,2
udp/58498,2
udp/62636,2
udp/59138,2
udp/33799,2
tcp/34362,2
udp/52302,2
udp/62106,2
tcp/4930,2
tcp/20374,2
udp/41562,2
udp/39834,2
udp/55909,2
udp/49302,2
udp/55830,2
udp/60070,2
udp/51869,2
udp/52497,2
udp/62029,2
udp/50620,2
udp/62756,2
tcp/64886,2
udp/61437,2
udp/55635,2
udp/65398,2
udp/58759,2
udp/53187,2
udp/60181,2
udp/53863,2
udp/55109,2
udp/58070,2
udp/61407,2
udp/61659,2
udp/57689,2
udp/55690,2
udp/49308,2
udp/56326,2
tcp/1838,2
udp/62921,2
udp/60284,2
udp/44784,2
udp/40639,2
udp/59770,2
udp/60879,2
udp/55483,2
udp/56426,2
udp/55726,2
udp/59330,2
udp/60643,2
udp/50496,2
udp/58612,2
udp/58086,2
udp/56119,2
udp/50503,2
udp/40985,2
udp/42198,2
udp/65198,2
udp/51777,2
udp/62357,2
udp/57384,2
udp/49725,2
udp/49723,2
udp/56879,2
tcp/1306,2
udp/50012,2
udp/56124,2
udp/64084,2
udp/54684,2
udp/49877,2
udp/60281,2
tcp/30997,2
tcp/59107,2
udp/58395,2
udp/33128,2
tcp/8124,2
udp/60187,2
udp/34580,2
udp/47190,2
udp/46084,2
udp/58411,2
udp/47659,2
udp/35618,2
udp/46727,2
udp/57285,2
udp/56558,2
udp/37113,2
udp/34663,2
udp/39449,2
udp/62157,2
udp/52303,2
udp/59374,2
udp/37627,2
udp/39863,2
udp/54944,2
udp/50956,2
udp/51563,2
udp/38286,2
udp/42300,2
udp/37920,2
udp/47623,2
tcp/31290,2
udp/48609,2
udp/37456,2
udp/63855,2
udp/64582,2
udp/58142,2
udp/56829,2
udp/52452,2
udp/58129,2
udp/63469,2
udp/63764,2
udp/59258,2
udp/55219,2
udp/52586,2
udp/55256,2
udp/35732,2
udp/45567,2
udp/51932,2
udp/54690,2
tcp/2389,2
udp/61629,2
udp/40718,2
udp/11040,2
tcp/686,2
udp/32604,2
udp/53774,2
udp/49959,2
tcp/24482,2
udp/50146,2
udp/57290,2
udp/62173,2
udp/41721,2
udp/26390,2
tcp/1948,2
udp/64205,2
udp/51716,2
udp/55838,2
udp/56376,2
udp/51428,2
udp/64554,2
udp/59186,2
udp/61185,2
udp/58643,2
udp/11559,2
udp/53467,2
udp/65099,2
udp/35768,2
udp/49807,2
udp/53893,2
udp/59729,2
udp/52419,2
udp/60610,2
udp/55517,2
udp/52288,2
tcp/9824,2
udp/39621,2
udp/58640,2
udp/57432,2
udp/33009,2
udp/50991,2
udp/58968,2
udp/54096,2
udp/58279,2
udp/35945,2
udp/52777,2
udp/62923,2
udp/46297,2
udp/33126,2
udp/45772,2
udp/54062,2
tcp/52146,2
udp/48038,2
udp/57888,2
udp/53812,2
udp/42152,2
udp/60267,2
udp/56865,2
udp/58011,2
udp/60290,2
udp/56673,2
tcp/39011,2
udp/58047,2
udp/7180,2
udp/30156,2
udp/50700,2
tcp/31111,2
tcp/62907,2
tcp/2484,2
udp/50974,2
udp/59644,2
udp/64309,2
udp/57004,2
udp/35655,2
udp/36260,2
udp/54753,2
udp/43953,2
tcp/23832,2
udp/42426,2
udp/42087,2
udp/37027,2
udp/54269,2
udp/48411,2
udp/57355,2
udp/49121,2
udp/59652,2
udp/41527,2
udp/42362,2
udp/37372,2
udp/64159,2
udp/46813,2
udp/49990,2
tcp/323,2
tcp/53064,2
udp/56301,2
udp/51641,2
udp/46816,2
udp/54195,2
udp/45233,2
udp/45197,2
udp/49355,2
udp/34365,2
udp/58233,2
udp/60986,2
udp/58055,2
udp/33558,2
udp/39258,2
udp/44535,2
udp/33999,2
udp/45614,2
udp/50887,2
udp/49882,2
udp/40296,2
udp/54602,2
udp/36513,2
udp/33875,2
udp/53769,2
udp/43135,2
udp/52560,2
udp/40136,2
udp/41728,2
udp/40908,2
udp/55835,2
udp/54426,2
udp/55748,2
udp/47112,2
udp/45258,2
udp/60626,2
udp/17079,2
tcp/9598,2
tcp/31047,2
udp/44804,2
udp/37950,2
udp/42673,2
udp/38145,2
tcp/31212,2
udp/45924,2
udp/46036,2
udp/48177,2
udp/39380,2
udp/42341,2
udp/37734,2
udp/35284,2
udp/57161,2
udp/45499,2
udp/36384,2
udp/35863,2
udp/44486,2
udp/44041,2
udp/33163,2
udp/59711,2
udp/34318,2
udp/60642,2
udp/37580,2
udp/56310,2
tcp/31171,2
udp/64632,2
tcp/3855,2
udp/59874,2
udp/63609,2
udp/63919,2
udp/60212,2
udp/62373,2
udp/57231,2
udp/56336,2
udp/55607,2
udp/54880,2
udp/39467,2
udp/54226,2
udp/45702,2
udp/62804,2
udp/42303,2
udp/58644,2
udp/48811,2
udp/53118,2
udp/44934,2
udp/55090,2
udp/38411,2
udp/37274,2
udp/55719,2
udp/51085,2
udp/44234,2
udp/44460,2
udp/5170,2
tcp/8179,2
udp/36679,2
udp/28566,2
tcp/8171,2
tcp/60100,2
udp/61745,2
udp/54399,2
tcp/1801,2
udp/56465,2
udp/52193,2
udp/57837,2
udp/43610,2
udp/34575,2
udp/54109,2
udp/60826,2
udp/49062,2
udp/17120,2
udp/49258,2
udp/37485,2
udp/51144,2
udp/44249,2
udp/46502,2
udp/42617,2
udp/49285,2
udp/49946,2
udp/34730,2
tcp/30660,2
udp/43149,2
udp/38354,2
udp/34721,2
udp/57261,2
udp/60110,2
udp/55393,2
udp/53728,2
udp/38614,2
udp/50256,2
udp/42306,2
udp/59160,2
udp/57458,2
udp/53101,2
udp/44561,2
tcp/5633,2
udp/55070,2
udp/47702,2
udp/59071,2
udp/46061,2
udp/54360,2
udp/53257,2
udp/52797,2
udp/53396,2
udp/42584,2
udp/45434,2
udp/50654,2
udp/60238,2
udp/55140,2
udp/37024,2
udp/63504,2
udp/55960,2
udp/45274,2
udp/21480,2
udp/43922,2
tcp/9062,2
udp/33723,2
udp/30754,2
udp/44788,2
udp/35088,2
udp/48124,2
tcp/1531,2
tcp/55130,2
udp/33230,2
udp/48531,2
udp/49887,2
udp/52202,2
udp/48471,2
udp/50052,2
udp/55105,2
udp/55030,2
udp/49765,2
udp/48069,2
udp/36377,2
udp/53937,2
udp/45517,2
tcp/45405,2
udp/41470,2
udp/35998,2
udp/34098,2
udp/52733,2
udp/44315,2
udp/50322,2
udp/45269,2
udp/20198,2
udp/52240,2
udp/38427,2
udp/46473,2
udp/47280,2
udp/53371,2
udp/40920,2
udp/40454,2
udp/46441,2
udp/52517,2
udp/56166,2
udp/58058,2
udp/52507,2
udp/60382,2
udp/60773,2
tcp/806,2
tcp/987,2
tcp/31219,2
udp/21569,2
udp/62519,2
udp/34967,2
udp/33951,2
udp/55005,2
udp/44107,2
udp/43642,2
udp/34260,2
udp/58428,2
udp/39317,2
udp/59542,2
udp/53734,2
udp/51712,2
udp/43616,2
udp/35893,2
udp/47488,2
udp/35770,2
udp/55020,2
udp/54846,2
udp/33858,2
udp/42643,2
udp/60456,2
udp/51356,2
udp/40736,2
udp/49889,2
udp/39408,2
udp/42027,2
tcp/8989,2
udp/59798,2
tcp/45584,2
udp/47797,2
udp/13020,2
udp/40011,2
udp/49091,2
udp/53474,2
udp/37602,2
udp/54315,2
udp/33330,2
udp/43442,2
udp/55052,2
udp/63705,2
udp/63198,2
tcp/54226,2
udp/45412,2
udp/34610,2
udp/49078,2
udp/60226,2
udp/36722,2
udp/39615,2
tcp/19017,2
udp/44595,2
udp/57270,2
udp/45449,2
udp/18537,2
udp/39605,2
udp/58541,2
udp/57638,2
udp/42417,2
tcp/30636,2
udp/44582,2
udp/52614,2
udp/56039,2
udp/63804,2
udp/61107,2
udp/33930,2
udp/26994,2
udp/33231,2
udp/37551,2
udp/58285,2
udp/48397,2
udp/11162,2
udp/54065,2
udp/40102,2
udp/44532,2
udp/55963,2
udp/45082,2
udp/38496,2
udp/45396,2
udp/55018,2
udp/48754,2
udp/35511,2
udp/53641,2
udp/37087,2
udp/51369,2
udp/53454,2
udp/41893,2
udp/38977,2
udp/60242,2
udp/50998,2
udp/41869,2
udp/47986,2
udp/57489,2
udp/46682,2
udp/45554,2
udp/41078,2
udp/36446,2
udp/52213,2
tcp/49690,2
tcp/55123,2
udp/7791,2
udp/55021,2
udp/30312,2
udp/60420,2
udp/50688,2
udp/47834,2
udp/33617,2
udp/39824,2
tcp/15798,2
udp/42281,2
udp/36734,2
udp/35452,2
udp/34772,2
tcp/40338,2
udp/40145,2
udp/36938,2
udp/41724,2
udp/38666,2
udp/39666,2
udp/43546,2
udp/60459,2
udp/37886,2
udp/33265,2
udp/35554,2
udp/44487,2
VMware-NetBIOS.Session.Service,2
udp/38316,2
udp/47916,2
udp/59464,2
udp/58160,2
udp/52492,2
udp/57103,2
udp/63975,2
udp/57017,2
tcp/38418,2
udp/63126,2
udp/37279,2
tcp/61328,2
udp/40515,2
tcp/22448,2
udp/40236,2
udp/39580,2
udp/35698,2
udp/42834,2
udp/44683,2
udp/47203,2
udp/59356,2
udp/50544,2
udp/7376,2
udp/38613,2
udp/36424,2
tcp/24742,2
udp/34119,2
udp/33228,2
udp/43374,2
udp/39057,2
udp/43068,2
udp/40625,2
udp/56476,2
udp/49927,2
udp/56991,2
udp/24372,2
tcp/9794,2
udp/21665,2
udp/50574,2
tcp/10758,2
udp/57096,2
udp/37348,2
udp/60125,2
udp/45687,2
udp/36702,2
udp/55209,2
udp/44946,2
udp/49431,2
udp/46159,2
udp/40477,2
udp/46199,2
udp/54970,2
udp/54563,2
udp/45285,2
udp/47830,2
udp/42489,2
udp/48409,2
udp/52185,2
udp/38818,2
udp/46044,2
tcp/61994,2
udp/54647,2
udp/57908,2
udp/41238,2
udp/18999,2
udp/63835,2
tcp/64262,2
udp/33136,2
udp/54030,2
udp/44221,2
udp/46180,2
udp/54556,2
udp/48560,2
udp/42926,2
udp/51395,2
udp/50461,2
udp/45061,2
udp/48428,2
udp/42388,2
udp/40617,2
udp/44153,2
udp/47306,2
udp/37077,2
udp/59149,2
udp/53043,2
udp/48771,2
udp/36907,2
udp/57973,2
udp/47312,2
udp/53593,2
udp/34958,2
udp/41203,2
udp/51279,2
udp/52207,2
udp/52957,2
udp/56805,2
udp/50112,2
udp/58617,2
udp/34604,2
udp/52641,2
udp/35793,2
udp/49855,2
udp/40353,2
udp/56606,2
udp/33237,2
udp/60335,2
udp/45574,2
tcp/1867,2
tcp/21432,2
udp/37792,2
udp/38500,2
udp/37916,2
udp/38019,2
udp/46773,2
udp/60451,2
udp/39737,2
udp/37553,2
udp/40403,2
udp/60301,2
udp/61254,2
udp/56891,2
udp/55849,2
udp/61326,2
udp/44503,2
udp/65363,2
udp/43187,2
udp/52760,2
udp/48721,2
udp/33724,2
udp/37776,2
udp/33023,2
udp/56249,2
udp/54651,2
udp/52239,2
udp/58723,2
udp/53915,2
udp/43308,2
udp/44001,2
udp/58907,2
udp/51569,2
udp/48612,2
udp/38343,2
udp/29789,2
tcp/8120,2
udp/64789,2
udp/55047,2
udp/57983,2
udp/35079,2
udp/53806,2
udp/48613,2
udp/50637,2
udp/43496,2
udp/48623,2
udp/47266,2
udp/39997,2
udp/49719,2
udp/34014,2
udp/45843,2
udp/55311,2
udp/62134,2
udp/38502,2
udp/43238,2
udp/43917,2
udp/55138,2
udp/43220,2
udp/46792,2
udp/59290,2
udp/64123,2
udp/56853,2
tcp/1602,2
udp/65162,2
tcp/9516,2
tcp/3120,2
udp/62500,2
udp/48299,2
udp/50355,2
tcp/243,2
udp/43389,2
udp/58425,2
udp/62884,2
tcp/64308,2
tcp/1799,2
udp/43881,2
udp/7603,2
udp/53668,2
udp/45376,2
udp/54989,2
udp/60563,2
udp/35010,2
udp/57947,2
udp/51721,2
udp/55771,2
udp/53943,2
udp/35343,2
udp/34918,2
udp/46098,2
udp/45651,2
udp/34910,2
udp/36392,2
udp/49164,2
udp/34777,2
udp/39502,2
udp/34921,2
udp/53126,2
udp/55318,2
udp/54479,2
tcp/9630,2
udp/42251,2
udp/34261,2
udp/43411,2
udp/43437,2
udp/47819,2
udp/52290,2
udp/44302,2
udp/42451,2
tcp/3357,2
udp/61823,2
udp/44273,2
udp/24329,2
udp/48954,2
udp/57992,2
udp/36638,2
udp/57831,2
udp/57582,2
udp/59013,2
udp/51223,2
udp/38832,2
udp/46139,2
udp/57868,2
udp/39150,2
udp/46398,2
udp/42884,2
udp/52111,2
udp/39067,2
udp/39908,2
udp/14891,2
udp/34511,2
udp/36600,2
udp/38110,2
tcp/10089,2
udp/39510,2
udp/47477,2
udp/34984,2
udp/56314,2
udp/6816,2
tcp/55443,2
udp/51505,2
udp/37313,2
udp/51557,2
udp/44304,2
udp/49596,2
tcp/6789,2
udp/44842,2
tcp/30591,2
udp/47545,2
tcp/13354,2
udp/43612,2
udp/35356,2
udp/54091,2
udp/38385,2
udp/35475,2
udp/41473,2
udp/52982,2
udp/43096,2
udp/41199,2
udp/38557,2
udp/46863,2
udp/57140,2
udp/58621,2
udp/48622,2
udp/59354,2
tcp/1212,2
udp/6551,2
udp/22052,2
udp/33164,2
tcp/4909,2
tcp/30526,2
udp/58176,2
udp/60170,2
udp/57326,2
udp/55925,2
udp/57703,2
udp/43085,2
udp/58297,2
udp/59956,2
udp/53550,2
udp/52215,2
udp/52145,2
tcp/48934,2
udp/47447,2
udp/57696,2
udp/41183,2
udp/55983,2
tcp/45040,2
udp/39791,2
udp/35866,2
udp/36589,2
udp/54507,2
udp/56335,2
udp/34383,2
udp/48242,2
udp/49275,2
udp/58474,2
udp/49870,2
udp/57684,2
tcp/61616,2
tcp/5058,2
tcp/47389,2
tcp/7012,2
udp/31527,2
udp/24323,2
udp/12604,2
udp/56012,2
udp/39238,2
udp/14237,2
udp/34026,2
udp/47038,2
udp/44979,2
udp/62420,2
udp/61173,2
udp/11232,2
udp/47434,2
udp/56459,2
udp/45159,2
udp/36540,2
udp/33790,2
udp/60331,2
udp/24179,2
udp/48971,2
udp/58824,2
udp/38831,2
udp/60590,2
udp/52254,2
udp/40146,2
udp/24424,2
udp/37439,2
udp/41993,2
udp/44198,2
udp/7246,2
udp/39171,2
udp/42983,2
udp/33566,2
udp/50682,2
udp/50383,2
udp/52800,2
udp/45113,2
udp/43687,2
udp/47579,2
tcp/28246,2
udp/12138,2
udp/30269,2
udp/27063,2
udp/56300,2
udp/35952,2
udp/47047,2
udp/53710,2
udp/43808,2
udp/38753,2
udp/41686,2
udp/42681,2
udp/49905,2
udp/49452,2
udp/47690,2
udp/50292,2
udp/40641,2
udp/40163,2
udp/34078,2
udp/47392,2
tcp/32774,2
udp/60159,2
udp/61977,2
udp/28018,2
tcp/1679,2
udp/50209,2
Xero-NetBIOS.Session.Service,2
udp/45153,2
udp/46596,2
udp/38320,2
udp/8836,2
udp/38861,2
udp/7858,2
udp/21540,2
udp/52267,2
udp/57712,2
udp/48895,2
udp/35180,2
udp/50675,2
udp/48849,2
udp/43290,2
udp/60910,2
udp/18137,2
tcp/1436,2
udp/41366,2
udp/41918,2
udp/37048,2
udp/40376,2
udp/50519,2
udp/54036,2
udp/59684,2
udp/45417,2
udp/42989,2
udp/43901,2
udp/36103,2
udp/48138,2
udp/34717,2
udp/39078,2
udp/38291,2
udp/11574,2
udp/53466,2
udp/39554,2
udp/39025,2
udp/45325,2
udp/12759,2
udp/44825,2
udp/58392,2
udp/54120,2
udp/49890,2
udp/11138,2
udp/46840,2
udp/36151,2
udp/47068,2
udp/34897,2
udp/39274,2
udp/42528,2
udp/56160,2
udp/36330,2
udp/58377,2
udp/49477,2
udp/38020,2
udp/42627,2
udp/45045,2
udp/34538,2
udp/35026,2
udp/35590,2
tcp/2701,2
tcp/33062,2
udp/51047,2
udp/36071,2
udp/35191,2
tcp/59889,2
udp/45422,2
udp/48681,2
udp/42183,2
udp/55526,2
udp/48216,2
udp/59533,2
tcp/1499,2
udp/58629,2
udp/55013,2
udp/41736,2
udp/35199,2
udp/48655,2
udp/58594,2
udp/6616,2
udp/33606,2
udp/48425,2
udp/42598,2
udp/44385,2
tcp/8002,2
udp/43983,2
tcp/37638,2
udp/37838,2
tcp/10682,2
tcp/5010,2
tcp/46746,2
tcp/8547,2
udp/41461,2
udp/10331,2
udp/28168,2
tcp/11102,2
udp/40538,2
tcp/49130,2
tcp/930,2
udp/51332,2
udp/50729,2
udp/45210,2
udp/52708,2
udp/46837,2
udp/20074,2
udp/35949,2
udp/63313,2
udp/48580,2
udp/60813,2
tcp/3609,2
udp/50331,2
udp/56177,2
udp/52604,2
udp/46968,2
udp/59201,2
udp/47961,2
udp/38544,2
udp/44422,2
udp/43364,2
udp/49740,2
udp/48056,2
udp/43400,2
udp/41666,2
udp/60101,2
udp/41948,2
udp/50942,2
udp/35621,2
tcp/30709,2
udp/39958,2
udp/39062,2
tcp/55037,2
udp/47341,2
udp/35572,2
udp/48007,2
udp/50442,2
udp/65213,2
udp/53758,2
udp/37036,2
udp/12007,2
udp/5279,2
udp/51584,2
udp/59657,2
udp/13348,2
udp/5803,2
tcp/45544,2
tcp/1352,2
tcp/3916,2
udp/22621,2
udp/19414,2
tcp/1201,2
tcp/45056,2
udp/58730,2
udp/61157,2
udp/34274,2
udp/44810,2
udp/41261,2
udp/34553,2
udp/40025,2
udp/40216,2
udp/58312,2
udp/39752,2
tcp/5154,2
tcp/5908,2
udp/30939,2
udp/22715,2
udp/17065,2
udp/55239,2
udp/59229,2
udp/44357,2
tcp/10571,2
udp/55637,2
udp/47445,2
udp/58283,2
udp/6892,2
udp/62890,2
udp/45773,2
udp/62484,2
udp/35666,2
udp/50367,2
tcp/9196,2
udp/58158,2
udp/51742,2
udp/50410,2
udp/39435,2
udp/54559,2
udp/46093,2
udp/51988,2
udp/60760,2
udp/34676,2
udp/56698,2
udp/37300,2
udp/38015,2
udp/54583,2
udp/46941,2
udp/50418,2
udp/34130,2
udp/35211,2
udp/53233,2
tcp/61512,2
udp/48094,2
udp/42066,2
udp/42016,2
tcp/640,2
tcp/61739,2
udp/36323,2
udp/47848,2
udp/40307,2
udp/53985,2
udp/59171,2
udp/59621,2
udp/57859,2
udp/34630,2
udp/60394,2
udp/63488,2
udp/10006,2
udp/32667,2
tcp/2135,2
tcp/10220,2
tcp/35369,2
tcp/8872,2
tcp/25626,2
udp/41168,2
tcp/42080,2
udp/49521,2
udp/57168,2
udp/56006,2
udp/53414,2
udp/59629,2
udp/52444,2
udp/35362,2
udp/53929,2
udp/50220,2
udp/51249,2
udp/53887,2
udp/42819,2
udp/34490,2
tcp/9204,2
udp/62310,2
tcp/12676,2
udp/42453,2
udp/8069,2
tcp/1972,2
tcp/1669,2
udp/35290,2
tcp/39822,2
tcp/56202,2
udp/21661,2
udp/51974,2
tcp/47305,2
udp/45458,2
udp/51697,2
tcp/59480,2
tcp/8898,2
tcp/740,2
tcp/30029,2
tcp/51356,2
udp/55163,2
udp/58901,2
udp/46801,2
udp/54739,2
udp/35849,2
udp/57158,2
udp/49578,2
udp/61573,2
udp/45496,2
udp/55197,2
udp/34452,2
udp/56623,2
udp/57509,2
udp/60538,2
udp/44391,2
udp/57307,2
udp/56060,2
udp/34736,2
udp/53862,2
udp/37787,2
tcp/16917,2
tcp/16081,2
udp/37064,2
udp/53435,2
tcp/30646,2
udp/19247,2
tcp/30652,2
tcp/1309,2
udp/48672,2
udp/51827,2
udp/43555,2
udp/41364,2
udp/54105,2
udp/46734,2
udp/39832,2
udp/58346,2
tcp/22296,2
udp/62750,2
udp/39723,2
udp/34811,2
Intuit-NetBIOS.Session.Service,2
udp/64939,2
tcp/1963,2
udp/59257,2
udp/45255,2
udp/50754,2
udp/51255,2
udp/60117,2
udp/38164,2
udp/44746,2
udp/55967,2
udp/47156,2
udp/40776,2
udp/39486,2
udp/62551,2
udp/13862,2
udp/33828,2
udp/53611,2
udp/34107,2
udp/50642,2
udp/32912,2
udp/34169,2
udp/59174,2
udp/50622,2
udp/51487,2
udp/60223,2
udp/32865,2
udp/58952,2
udp/50095,2
udp/58551,2
tcp/52822,2
udp/40402,2
udp/48859,2
udp/62629,2
udp/38882,2
udp/61232,2
udp/45617,2
tcp/22710,2
udp/11364,2
tcp/31215,2
tcp/44710,2
tcp/30690,2
tcp/14682,2
udp/29617,2
udp/40495,2
udp/39185,2
udp/49404,2
tcp/320,2
udp/55273,2
udp/52563,2
udp/55866,2
udp/48785,2
udp/42963,2
udp/33921,2
udp/51127,2
udp/45344,2
udp/35798,2
udp/33559,2
udp/27243,2
udp/55484,2
tcp/60885,2
udp/58327,2
udp/53347,2
udp/36873,2
tcp/26718,2
tcp/14082,2
tcp/1257,2
udp/18567,2
udp/81,2
udp/26604,2
udp/60291,2
udp/60068,2
tcp/24343,2
tcp/32569,2
tcp/44410,2
tcp/3701,2
udp/18784,2
udp/12301,2
udp/29620,2
udp/45720,2
udp/52225,2
udp/55199,2
udp/42717,2
udp/59882,2
udp/53235,2
udp/55272,2
udp/49812,2
udp/55054,2
udp/22219,2
tcp/31155,2
tcp/12355,2
tcp/941,2
tcp/28694,2
tcp/1358,2
tcp/48766,2
tcp/47157,2
udp/27806,2
tcp/32764,2
udp/35612,2
tcp/2486,2
tcp/9287,2
udp/8507,2
tcp/2445,2
tcp/61107,2
tcp/30663,2
udp/56340,2
udp/60859,2
udp/59977,2
udp/48358,2
udp/52740,2
udp/33155,2
udp/15229,2
udp/62488,2
udp/5981,2
tcp/46307,2
udp/63003,2
udp/61751,2
udp/44155,2
tcp/3312,2
tcp/21210,2
udp/40720,2
udp/43809,2
udp/63723,2
udp/33716,2
udp/50907,2
tcp/16085,2
udp/50450,2
tcp/46581,2
udp/38466,2
udp/48684,2
udp/11534,2
udp/38008,2
udp/34085,2
udp/51741,2
udp/56858,2
tcp/550,2
tcp/6646,2
udp/53938,2
udp/60927,2
tcp/31083,2
udp/36854,2
tcp/55222,2
tcp/10287,2
udp/63353,2
tcp/9146,2
udp/50697,2
udp/57815,2
udp/46167,2
udp/42817,2
udp/41225,2
tcp/35638,2
udp/44736,2
udp/7782,2
udp/57864,2
udp/21009,2
udp/55424,2
udp/47732,2
udp/51575,2
udp/33569,2
tcp/50203,2
udp/50272,2
udp/42668,2
udp/41119,2
udp/38864,2
udp/46399,2
udp/37143,2
udp/39331,2
udp/48876,2
udp/17356,2
udp/57399,2
udp/52390,2
tcp/658,2
udp/51883,2
tcp/5919,2
udp/62770,2
tcp/30962,2
udp/40994,2
tcp/30926,2
udp/50434,2
udp/35429,2
udp/48844,2
udp/49160,2
udp/8088,2
tcp/58754,2
tcp/8132,2
tcp/54103,2
tcp/40446,2
udp/37803,2
udp/44172,2
tcp/45992,2
udp/42334,2
udp/57137,2
udp/38797,2
udp/46114,2
udp/39872,2
tcp/53521,2
udp/38785,2
udp/33316,2
udp/35136,2
udp/47928,2
udp/36581,2
udp/43764,2
udp/34705,2
udp/60821,2
udp/56568,2
udp/48131,2
udp/53752,2
udp/56864,2
udp/37206,2
udp/47363,2
udp/58122,2
udp/33099,2
udp/49263,2
udp/53421,2
udp/46957,2
tcp/39494,2
udp/52835,2
udp/8057,2
tcp/1049,2
tcp/36663,2
udp/56362,2
udp/37016,2
udp/61787,2
tcp/56914,2
udp/58522,2
udp/36219,2
udp/8668,2
udp/20246,2
tcp/46604,2
udp/46676,2
udp/44064,2
udp/52468,2
udp/50107,2
udp/53928,2
udp/29221,2
tcp/53446,2
udp/42366,2
udp/56453,2
udp/59858,2
udp/59028,2
udp/43105,2
udp/60935,2
tcp/12080,2
udp/13885,2
udp/64255,2
udp/38130,2
udp/33926,2
udp/55361,2
udp/54642,2
udp/54090,2
udp/60562,2
udp/16908,2
tcp/21362,2
udp/39079,2
tcp/30011,2
tcp/20300,2
udp/53215,2
udp/9620,2
udp/22303,2
udp/48100,2
udp/48104,2
udp/35210,2
udp/32535,2
tcp/30784,2
udp/38591,2
udp/53588,2
udp/49711,2
udp/45448,2
udp/45020,2
udp/53036,2
udp/39347,2
udp/33587,2
udp/40006,2
udp/56687,2
tcp/30083,2
tcp/1568,2
udp/54683,2
tcp/7634,2
tcp/24534,2
udp/55095,2
udp/35658,2
tcp/51215,2
udp/41214,2
udp/33255,2
udp/36278,2
udp/43204,2
udp/62301,2
tcp/5594,2
udp/48568,2
udp/62408,2
udp/34057,2
udp/54856,2
tcp/31222,2
udp/55529,2
tcp/30961,2
tcp/30626,2
tcp/24850,2
udp/49545,2
udp/56424,2
tcp/7078,2
tcp/382,2
udp/35137,2
udp/43446,2
udp/47441,2
tcp/56145,2
tcp/30563,2
udp/41126,2
udp/8031,2
tcp/3923,2
udp/18922,2
tcp/55214,2
udp/15128,2
udp/48969,2
udp/37482,2
udp/48671,2
udp/48314,2
udp/39128,2
udp/47636,2
udp/56234,2
udp/10521,2
udp/54714,2
udp/34864,2
udp/38234,2
udp/51163,2
udp/10253,2
udp/65164,2
tcp/8433,2
tcp/3805,2
udp/59965,2
udp/54182,2
udp/27137,2
udp/48514,2
udp/49973,2
tcp/2440,2
tcp/8137,2
udp/26590,2
tcp/8105,2
udp/24123,2
udp/44000,2
udp/63942,2
udp/55780,2
udp/53224,2
tcp/1599,2
udp/5409,2
udp/57744,2
udp/42855,2
udp/29338,2
udp/55636,2
udp/32805,2
udp/46943,2
udp/58697,2
udp/33845,2
tcp/13025,2
udp/13045,2
tcp/9613,2
udp/59978,2
udp/55303,2
udp/41465,2
udp/34454,2
udp/60460,2
udp/52709,2
udp/55542,2
udp/54207,2
udp/40747,2
udp/49376,2
udp/25454,2
udp/20681,2
udp/44360,2
udp/37540,2
udp/58811,2
udp/44083,2
udp/53219,2
tcp/39042,2
udp/35476,2
udp/50082,2
udp/61093,2
udp/47512,2
udp/51420,2
udp/36968,2
udp/43346,2
udp/40406,2
udp/45058,2
udp/61066,2
udp/35960,2
udp/63408,2
tcp/26562,2
udp/60915,2
udp/56309,2
udp/39574,2
udp/50753,2
tcp/50004,2
udp/28579,2
udp/60389,2
tcp/31208,2
udp/56325,2
tcp/30633,2
tcp/12001,2
udp/16009,2
udp/46556,2
udp/45427,2
udp/49176,2
udp/39932,2
udp/46474,2
udp/45029,2
udp/46363,2
udp/36979,2
tcp/6365,2
udp/57923,2
udp/55187,2
tcp/58850,2
udp/36772,2
udp/39126,2
udp/45380,2
udp/33384,2
udp/16399,2
udp/11512,2
udp/38083,2
udp/35118,2
udp/60482,2
udp/47736,2
udp/35433,2
udp/39112,2
udp/42575,2
tcp/58749,2
udp/32864,2
udp/34499,2
udp/15665,2
udp/17477,2
tcp/3086,2
tcp/8072,2
udp/38455,2
udp/37100,2
tcp/2226,2
udp/50413,2
udp/29010,2
udp/33554,2
udp/20507,2
udp/42936,2
udp/53966,2
udp/39189,2
udp/53976,2
udp/42873,2
tcp/2549,2
udp/53630,2
udp/40071,2
